Train_No,Journey_Duration_Minutes,Total_Distance,Number_of_Stops
18192,1145.0,687,31
18201,1615.0,1207,25
18202,1625.0,1212,25
18203,1060.0,879,20
18204,1130.0,883,21
18205,1615.0,1153,24
18206,1760.0,1161,24
18207,1550.0,1396,22
18208,1605.0,1404,22
18211,870.0,660,15
18212,1010.0,665,15
18213,1400.0,1250,20
18214,1475.0,1258,20
18215,2195.0,1906,26
18216,2290.0,1916,26
18233,1440.0,1008,72
18234,1450.0,1009,74
18235,1190.0,720,67
18236,1300.0,721,67
18237,2515.0,1998,85
18238,2645.0,1990,89
18239,695.0,520,31
18240,445.0,406,18
18241,670.0,463,32
18242,700.0,471,32
18243,2080.0,1818,33
18244,2110.0,1808,33
18245,2125.0,1884,33
18246,2210.0,1874,33
18247,675.0,468,39
18248,700.0,465,39
18301,395.0,321,20
18302,365.0,321,20
18303,395.0,340,16
18304,405.0,340,16
18309,540.0,378,14
18310,575.0,381,14
18311,1185.0,890,37
18312,1155.0,893,37
18401,3145.0,2779,41
18402,2990.0,2775,41
18403,155.0,126,6
18404,175.0,126,6
18405,2225.0,2013,40
18406,2250.0,2005,40
18407,1965.0,1697,26
18408,1895.0,1691,26
18409,575.0,504,20
18410,580.0,503,21
18413,270.0,172,12
18414,225.0,172,12
18415,645.0,396,30
18416,625.0,396,30
18419,1390.0,998,24
18420,1330.0,998,24
18421,2785.0,2483,41
18422,2945.0,2479,41
18425,1030.0,810,28
18426,1020.0,803,28
18437,200.0,146,11
18438,210.0,146,11
18447,1060.0,784,41
18448,1080.0,784,41
18449,1175.0,926,27
18450,1095.0,926,27
18451,920.0,686,24
18452,905.0,686,25
18463,1835.0,1546,47
18464,1850.0,1545,46
18477,2880.0,2347,76
18478,2900.0,2354,75
18495,2050.0,1884,25
18496,2100.0,1884,25
18501,2365.0,2116,29
18502,2390.0,2113,29
18503,1635.0,1406,25
18504,1615.0,1405,25
18507,2860.0,2552,48
18508,2885.0,2556,48
18511,420.0,357,12
18512,425.0,357,11
18517,900.0,726,31
18518,905.0,727,31
18519,1755.0,1512,20
18520,1700.0,1497,20
18567,1810.0,1572,33
18568,1695.0,1576,33
18573,2435.0,2056,35
18574,2515.0,2060,35
18605,990.0,637,17
18606,1020.0,640,17
18609,2340.0,2014,29
18610,2375.0,2018,29
18611,765.0,574,30
18612,760.0,576,30
18613,600.0,480,20
18614,685.0,482,20
18615,555.0,430,17
18616,565.0,426,17
18619,590.0,400,17
18620,590.0,402,17
18621,880.0,571,42
18622,940.0,569,43
18623,675.0,417,26
18624,685.0,414,25
18625,560.0,417,21
18626,570.0,414,21
18631,1990.0,1663,39
18632,1965.0,1665,39
18637,2055.0,1884,27
18638,2200.0,1884,27
18645,1810.0,1602,59
18646,1820.0,1602,61
18695,180.0,64,8
18696,145.0,64,8
18697,490.0,314,27
18698,510.0,314,27
19015,1275.0,958,63
19016,1330.0,958,62
19019,2490.0,1676,98
19020,2540.0,1678,92
19021,1810.0,1681,23
19022,1910.0,1681,23
19023,2330.0,1759,94
19024,2315.0,1762,97
19025,690.0,567,21
19026,720.0,567,21
19027,2230.0,1878,33
19028,2215.0,1879,33
19031,1575.0,1200,43
19032,1550.0,1203,43
19033,380.0,297,27
19034,375.0,297,27
19035,135.0,99,10
19036,160.0,99,11
19037,2345.0,1832,68
19038,2355.0,1831,68
19039,2830.0,2142,82
19040,2795.0,2140,82
19041,2105.0,1909,31
19042,2180.0,1910,27
19045,1965.0,1732,35
19046,2020.0,1730,35
19051,2100.0,1786,17
19052,2005.0,1785,17
19053,2780.0,2121,25
19054,2730.0,2120,25
19055,975.0,750,18
19056,935.0,751,18
19057,1625.0,1403,13
19058,1755.0,1402,13
19061,1785.0,1635,28
19062,1805.0,1636,28
19063,1815.0,1596,18
19064,1845.0,1595,18
19107,1865.0,1537,19
19108,2050.0,1539,19
19115,960.0,843,29
19116,920.0,843,29
19119,560.0,435,19
19120,570.0,435,19
19151,360.0,300,17
19152,355.0,300,17
19165,2775.0,1945,70
19166,2830.0,1945,72
19167,2195.0,1600,57
19168,2235.0,1601,57
19201,1975.0,1690,29
19202,2030.0,1689,29
19215,1275.0,958,63
19217,940.0,807,30
19218,945.0,807,33
19223,1935.0,1474,58
19224,1870.0,1476,60
19225,715.0,489,24
19226,735.0,489,24
19251,590.0,438,17
19252,565.0,438,17
19259,2730.0,2274,41
19260,2615.0,2270,41
19261,2730.0,2427,30
19262,2675.0,2423,30
19263,1705.0,1394,28
19264,1715.0,1396,32
19269,3055.0,2465,35
19270,3005.0,2465,35
19301,2290.0,1895,32
19302,2515.0,1895,32
19303,335.0,262,18
19304,340.0,262,17
19307,1510.0,1100,19
19308,1345.0,1102,19
19309,725.0,563,19
19310,675.0,564,19
19311,1075.0,969,17
19312,1175.0,970,17
19313,1640.0,1347,17
19314,1675.0,1347,17
19321,1640.0,1394,17
19322,1675.0,1395,17
19323,245.0,217,7
19324,260.0,217,7
19325,1745.0,1323,24
19326,1635.0,1326,24
19327,434.0,302,16
19328,405.0,302,16
19329,705.0,481,18
19330,745.0,481,18
19331,2535.0,2300,32
19332,2725.0,2296,32
19401,1610.0,1298,27
19402,1675.0,1300,27
19403,1800.0,1550,20
19404,1805.0,1552,20
19407,1960.0,1693,21
19408,1940.0,1696,21
19409,1910.0,1569,29
19410,1965.0,1569,29
19411,580.0,489,12
19412,550.0,491,12
19413,3430.0,2617,37
19414,3245.0,2618,37
19415,2145.0,1716,31
19416,2255.0,1718,31
19419,2025.0,1721,26
19420,1890.0,1719,27
19421,2040.0,1666,29
19422,2170.0,1669,28
19565,2110.0,1662,33
19566,2060.0,1664,33
19567,3095.0,2730,42
19568,3315.0,2730,43
19571,280.0,201,15
19572,255.0,201,15
19573,1195.0,1049,20
19574,1270.0,1051,20
19575,1340.0,1126,20
19576,1390.0,1126,20
19577,2730.0,2438,29
19578,2960.0,2434,29
19579,1305.0,1102,24
19580,1290.0,1105,24
19601,2535.0,2235,29
19602,2620.0,2232,29
19607,2535.0,2000,30
19608,2765.0,2004,30
19609,1280.0,968,29
19611,1250.0,1006,31
19612,1170.0,1006,31
19613,1010.0,847,26
19614,970.0,847,26
19659,2193.0,1880,24
19660,2275.0,1883,24
19665,1270.0,1080,29
19666,1290.0,1080,29
19707,1320.0,1103,39
19708,1315.0,1106,39
19709,2905.0,2213,37
19710,2845.0,2210,37
19711,1035.0,792,34
19712,995.0,792,34
19713,2065.0,1726,31
19714,1975.0,1726,31
19715,805.0,675,17
19716,815.0,674,17
19717,735.0,569,17
19718,725.0,569,17
19803,1490.0,1125,30
19804,1555.0,1127,30
19805,1305.0,1084,22
19806,1235.0,1086,22
19807,280.0,238,11
19808,290.0,239,11
20501,2450.0,2412,16
20502,2500.0,2413,16
20601,530.0,558,6
20602,535.0,554,7
20651,295.0,273,11
20652,295.0,273,11
20809,1625.0,1486,22
20810,1615.0,1484,22
20811,1055.0,981,13
20812,1060.0,978,13
20813,2640.0,2433,43
20814,2640.0,2426,43
20815,930.0,862,24
20816,940.0,862,24
20817,1650.0,1893,13
20818,1650.0,1894,13
20889,1145.0,1234,8
20890,1165.0,1233,8
20901,215.0,185,4
20902,190.0,185,4
20903,1600.0,1536,11
20904,1650.0,1535,11
21067,119.0,95,4
21068,100.0,95,4
21107,60.0,63,2
21108,70.0,63,2
21125,825.0,643,17
21126,885.0,643,17
22101,280.0,260,7
22102,282.0,260,8
22103,1640.0,1600,17
22104,1745.0,1599,17
22105,205.0,191,8
22106,205.0,191,7
22109,1195.0,1501,9
22110,1200.0,1504,9
22111,635.0,603,20
22112,625.0,604,20
22113,1650.0,1513,26
22114,1655.0,1517,26
22115,590.0,545,8
22116,595.0,547,8
22117,720.0,730,10
22118,785.0,730,10
22119,500.0,561,7
22120,510.0,563,7
22121,1405.0,1411,11
22122,1510.0,1411,11
22123,840.0,892,10
22124,955.0,892,10
22125,1635.0,1518,10
22126,1455.0,1521,10
22127,1155.0,1122,21
22128,1155.0,1123,21
22131,1625.0,1543,19
22132,1670.0,1543,19
22133,710.0,644,13
22134,710.0,644,13
22135,750.0,780,16
22136,845.0,780,16
22137,1015.0,961,14
22138,1035.0,961,14
22140,480.0,457,8
22143,735.0,667,17
22144,725.0,667,17
22145,149.0,136,9
22146,149.0,136,9
22147,360.0,330,8
22148,360.0,330,8
22149,1475.0,1371,18
22150,1445.0,1366,18
22151,1250.0,1191,19
22152,1295.0,1193,19
22161,290.0,290,11
22162,305.0,292,11
22163,400.0,367,9
22164,400.0,367,9
22165,705.0,656,11
22166,720.0,655,11
22168,1115.0,1050,11
22181,855.0,883,15
22182,870.0,886,15
22187,330.0,330,10
22188,365.0,330,10
22189,255.0,238,11
22190,255.0,238,11
22191,600.0,554,19
22192,600.0,554,19
22201,475.0,527,3
22202,495.0,526,3
22203,630.0,708,3
22204,615.0,708,3
22205,520.0,553,3
22206,515.0,555,3
22207,860.0,901,11
22208,870.0,904,11
22209,1035.0,1373,5
22210,1010.0,1376,5
22213,515.0,538,4
22214,535.0,539,4
22307,225.0,172,5
22308,170.0,173,5
22309,595.0,560,8
22310,615.0,560,8
22321,260.0,239,10
22322,260.0,240,10
22323,820.0,757,9
22324,825.0,758,9
22351,2920.0,2706,28
22352,2885.0,2712,28
22356,1270.0,1142,16
22387,295.0,269,16
22388,295.0,270,16
22401,640.0,630,8
22402,620.0,630,8
22403,2455.0,2364,15
22404,2530.0,2363,15
22405,1130.0,1193,22
22406,1070.0,1193,22
22407,885.0,780,9
22408,830.0,780,9
22409,980.0,968,10
22410,880.0,968,10
22411,2285.0,2127,16
22412,2285.0,2130,16
22413,1600.0,1908,10
22414,1555.0,1907,10
22415,2070.0,2083,21
22416,2125.0,2083,21
22417,810.0,768,9
22418,830.0,768,9
22419,890.0,809,12
22420,885.0,809,12
22421,675.0,623,22
22422,675.0,624,22
22423,1185.0,1086,16
22424,1170.0,1087,16
22427,880.0,876,11
22428,930.0,876,11
22429,605.0,553,15
22430,600.0,553,17
22431,1365.0,1255,18
22432,1360.0,1255,18
22433,910.0,822,11
22434,860.0,824,10
22439,480.0,655,5
22441,190.0,194,9
22442,190.0,194,9
22443,1725.0,1607,22
22444,1645.0,1608,22
22445,975.0,897,14
22446,975.0,897,14
22447,75.0,63,2
22448,70.0,63,2
22451,1685.0,1580,24
22452,1655.0,1583,24
22453,475.0,458,10
22454,495.0,458,10
22455,1590.0,1615,15
22456,1635.0,1618,15
22457,2030.0,1849,26
22458,1920.0,1852,26
22461,700.0,654,8
22462,690.0,654,8
22463,220.0,172,4
22464,170.0,173,4
22471,475.0,455,14
22472,475.0,455,14
22473,1315.0,1211,23
22474,1320.0,1209,23
22475,2620.0,2478,34
22476,2705.0,2482,34
22477,290.0,312,12
22478,290.0,311,12
22481,635.0,620,19
22482,645.0,619,19
22483,585.0,558,14
22484,555.0,558,14
22487,140.0,91,7
22488,155.0,91,7
22497,3440.0,3101,37
22501,3935.0,3617,41
22502,3935.0,3617,39
22511,3295.0,3011,27
22512,3195.0,3006,27
22531,960.0,879,22
22532,965.0,884,22
22601,1520.0,1391,23
22602,1515.0,1391,24
22603,1875.0,1779,20
22604,1905.0,1782,20
22605,2085.0,1984,30
22606,2125.0,1986,30
22607,675.0,617,14
22608,670.0,616,14
22609,440.0,404,14
22610,430.0,405,14
22611,2490.0,2295,22
22612,2505.0,2295,22
22613,1670.0,1661,15
22614,1685.0,1662,15
22615,470.0,466,8
22616,460.0,469,8
22617,360.0,336,9
22618,350.0,336,9
22619,2705.0,2494,30
22620,2660.0,2494,30
22621,440.0,399,12
22622,440.0,398,12
22623,600.0,556,11
22624,605.0,557,11
22625,345.0,360,11
22626,360.0,361,12
22627,500.0,457,13
22628,500.0,457,13
22629,1880.0,1758,26
22630,1910.0,1763,26
22631,2675.0,2560,32
22632,2600.0,2558,32
22633,2880.0,2841,29
22634,3065.0,2840,29
22635,345.0,319,10
22636,345.0,320,10
22637,985.0,896,31
22638,980.0,898,32
22639,825.0,753,25
22640,825.0,755,26
22641,2695.0,2565,37
22642,2740.0,2564,37
22643,3045.0,2785,44
22644,3015.0,2782,42
22645,2905.0,2643,52
22646,2820.0,2648,51
22647,2735.0,2510,55
22648,2715.0,2508,55
22649,430.0,390,18
22650,425.0,393,18
22651,800.0,669,19
22652,795.0,671,20
22653,2950.0,2854,28
22654,3135.0,2852,28
22655,2920.0,2841,28
22656,3135.0,2840,28
22659,3445.0,3154,26
22660,3445.0,3152,27
22661,645.0,592,19
22662,650.0,592,20
22663,2565.0,2353,27
22664,2570.0,2352,27
22667,570.0,531,14
22668,560.0,532,14
22669,40.0,31,4
22670,40.0,31,4
22677,930.0,844,13
22678,925.0,845,13
22679,190.0,226,10
22680,190.0,211,10
22681,545.0,499,12
22682,530.0,498,11
22683,2580.0,2352,30
22684,2580.0,2338,31
22685,3155.0,2846,18
22686,3055.0,2845,18
22687,145.0,126,4
22688,135.0,126,4
22691,2035.0,2337,15
22692,2035.0,2355,15
22697,920.0,828,18
22698,920.0,829,17
22705,3115.0,2964,14
22706,3235.0,2965,14
22707,790.0,760,18
22708,790.0,759,18
22801,875.0,804,16
22803,645.0,664,11
22804,660.0,663,11
22805,1925.0,1871,18
22806,1980.0,1869,18
22807,1665.0,1657,18
22808,1575.0,1656,18
22809,560.0,552,17
22810,555.0,552,17
22811,1380.0,1717,14
22812,1365.0,1718,14
22813,435.0,490,12
22814,530.0,489,12
22815,2240.0,2144,23
22816,2205.0,2145,23
22817,2135.0,2106,21
22818,2300.0,2107,23
22819,440.0,442,27
22821,200.0,188,11
22822,195.0,189,11
22823,1510.0,1802,13
22824,1460.0,1802,13
22825,1645.0,1662,24
22826,1745.0,1661,24
22827,1895.0,1766,18
22828,1900.0,1759,18
22829,2615.0,2431,31
22830,2653.0,2431,31
22831,1850.0,1765,19
22832,1870.0,1764,19
22833,1500.0,1511,19
22834,1545.0,1514,19
22835,525.0,502,11
22836,535.0,500,11
22837,2440.0,2234,28
22838,2440.0,2238,27
22839,440.0,417,12
22840,450.0,417,12
22843,1055.0,966,22
22844,1050.0,964,22
22845,1820.0,1771,19
22846,1845.0,1779,19
22847,1715.0,1662,23
22848,1745.0,1655,24
22849,1575.0,1590,20
22850,1645.0,1589,20
22851,2500.0,2485,40
22852,2580.0,2485,40
22853,845.0,882,16
22854,915.0,880,16
22855,1550.0,1613,18
22856,1590.0,1612,18
22857,1615.0,1567,11
22858,1630.0,1566,11
22859,1285.0,1247,21
22860,1350.0,1247,21
22861,290.0,288,10
22862,310.0,288,10
22863,1745.0,1957,12
22864,1755.0,1959,12
22865,1950.0,1853,18
22866,1925.0,1860,18
22867,1280.0,1255,16
22868,1325.0,1266,16
22869,830.0,780,13
22870,795.0,780,13
22871,1245.0,1178,19
22872,1280.0,1178,19
22873,905.0,930,17
22874,935.0,930,16
22875,235.0,207,14
22876,235.0,207,14
22877,2220.0,2289,24
22878,2305.0,2293,24
22879,1245.0,1178,21
22880,1280.0,1178,21
22881,1805.0,1705,14
22882,1840.0,1706,14
22883,1740.0,1493,27
22884,1860.0,1504,28
22885,1500.0,1701,14
22886,1550.0,1704,14
22887,1975.0,1970,19
22888,1955.0,1973,20
22889,595.0,550,13
22890,580.0,550,13
22891,500.0,469,14
22892,500.0,466,15
22893,1775.0,1795,16
22894,1765.0,1801,16
22897,202.0,185,9
22898,202.0,186,9
22901,1015.0,944,16
22902,1000.0,945,16
22903,765.0,838,8
22904,795.0,838,8
22905,180.0,176,5
22906,220.0,176,5
22907,1420.0,1352,18
22908,1515.0,1348,18
22909,2250.0,2073,24
22910,2240.0,2075,24
22911,1875.0,1744,34
22912,1910.0,1745,34
22914,1945.0,1846,13
22915,1470.0,1404,30
22916,1500.0,1405,30
22917,1685.0,1610,26
22918,1635.0,1613,26
22919,1865.0,1721,12
22920,1865.0,1719,12
22925,90.0,69,3
22926,105.0,69,3
22927,520.0,480,22
22928,520.0,480,17
22929,250.0,234,14
22930,245.0,234,14
22931,1335.0,1226,27
22932,1335.0,1227,27
22933,1135.0,1146,15
22934,1130.0,1147,15
22935,845.0,787,12
22936,855.0,787,12
22937,1635.0,1600,23
22938,1700.0,1600,23
22939,1825.0,1689,23
22940,1840.0,1697,23
22941,1530.0,1393,16
22942,1455.0,1396,16
22943,1015.0,963,17
22944,1050.0,963,17
22945,1080.0,986,30
22946,1080.0,986,31
22949,1465.0,1342,27
22951,935.0,853,15
22952,935.0,853,15
22953,535.0,490,27
22954,535.0,490,27
22955,905.0,838,22
22956,910.0,838,22
22957,470.0,430,16
22959,610.0,556,21
22960,605.0,556,21
22961,585.0,547,18
22962,595.0,547,18
22963,835.0,780,18
22964,845.0,780,18
22965,1015.0,929,10
22966,1025.0,931,10
22967,1600.0,1488,20
22968,1625.0,1487,20
22969,2225.0,2023,23
22970,2095.0,2024,23
22971,2010.0,1847,14
22972,1943.0,1846,14
22973,2640.0,2436,38
22974,2650.0,2443,38
22981,1000.0,918,28
22982,970.0,919,28
22983,465.0,432,14
22989,935.0,881,16
22990,945.0,881,16
22991,950.0,910,12
22992,990.0,910,12
22993,945.0,881,15
22994,960.0,881,15
22995,210.0,185,4
22996,190.0,185,4
23141,50.0,30,3
23142,45.0,30,3
23225,190.0,109,11
23226,220.0,109,11
23345,145.0,81,6
23346,115.0,81,6
23347,360.0,204,11
23348,340.0,204,11
24041,50.0,24,3
24042,55.0,24,3
24227,410.0,349,15
24228,450.0,349,15
24369,1240.0,740,38
24370,1200.0,740,38
24887,210.0,157,6
24888,260.0,157,6
25013,150.0,76,3
25014,125.0,76,3
25035,90.0,76,3
25036,115.0,76,3
25201,95.0,58,6
25202,75.0,58,6
25631,190.0,173,4
25632,230.0,172,4
25657,2020.0,1358,37
25658,1975.0,1357,37
28181,295.0,179,14
28182,270.0,179,14
29019,280.0,276,8
29020,295.0,276,8
30111,124.0,45,23
30112,107.0,33,19
30116,51.0,25,14
30121,116.0,51,26
30122,133.0,60,29
30123,99.0,49,25
30128,147.0,66,32
30135,161.0,84,34
30142,193.0,128,42
30145,157.0,102,34
30152,101.0,53,21
30154,95.0,53,21
30211,29.0,9,8
30311,75.0,28,18
30312,92.0,33,21
30313,88.0,33,21
30314,92.0,41,23
30317,109.0,41,23
30321,187.0,85,35
30322,143.0,77,34
30324,184.0,80,36
30331,124.0,55,27
30332,134.0,55,27
30333,122.0,55,27
30342,157.0,87,28
30344,158.0,87,34
30346,165.0,87,34
30351,80.0,37,17
30353,88.0,45,19
30357,89.0,33,15
30358,72.0,33,15
30361,160.0,90,31
30411,80.0,24,11
30412,63.0,24,11
30413,85.0,24,11
30414,61.0,24,11
30416,61.0,24,11
30451,66.0,24,11
30452,90.0,31,16
30511,66.0,30,14
30552,96.0,37,17
30612,143.0,46,24
30711,117.0,67,26
30712,126.0,67,26
31051,125.0,67,26
31053,121.0,67,26
31055,128.0,67,26
31111,214.0,154,39
31112,220.0,154,37
31151,168.0,116,35
31152,180.0,116,35
31191,30.0,15,7
31192,24.0,15,7
31211,40.0,25,9
31212,43.0,25,9
31213,37.0,25,4
31214,40.0,25,5
31215,37.0,25,5
31216,43.0,25,9
31217,41.0,25,9
31218,42.0,25,7
31219,38.0,25,9
31220,45.0,25,9
31221,40.0,25,9
31222,43.0,25,9
31223,38.0,25,9
31224,41.0,25,9
31225,40.0,25,9
31226,40.0,25,9
31227,40.0,25,9
31228,42.0,25,9
31229,40.0,25,9
31230,42.0,25,9
31231,40.0,25,9
31232,38.0,25,9
31233,40.0,25,9
31234,40.0,25,9
31235,40.0,25,9
31236,40.0,25,9
31237,42.0,25,9
31238,40.0,25,9
31239,42.0,25,9
31240,40.0,25,9
31241,39.0,25,9
31261,36.0,20,9
31311,91.0,55,21
31312,88.0,55,21
31313,90.0,55,21
31314,88.0,55,21
31315,88.0,55,21
31316,90.0,55,21
31317,90.0,55,21
31318,90.0,55,21
31319,90.0,55,21
31320,83.0,55,12
31321,92.0,55,21
31322,108.0,55,21
31323,90.0,55,21
31324,89.0,55,21
31325,93.0,55,21
31326,90.0,55,21
31327,92.0,55,21
31328,88.0,55,21
31329,90.0,55,21
31330,90.0,55,21
31331,91.0,55,21
31332,88.0,55,21
31333,90.0,55,21
31334,90.0,55,21
31335,94.0,55,21
31336,91.0,55,21
31337,84.0,55,13
31338,90.0,55,21
31339,93.0,55,21
31411,60.0,40,9
31412,65.0,40,15
31413,64.0,40,15
31414,65.0,40,15
31415,63.0,40,15
31416,66.0,40,15
31417,62.0,40,15
31418,68.0,40,15
31420,63.0,40,15
31421,63.0,40,15
31422,63.0,40,15
31423,63.0,40,15
31424,65.0,40,15
31425,65.0,40,15
31426,65.0,40,15
31427,65.0,40,15
31428,64.0,40,15
31429,65.0,40,15
31430,65.0,40,15
31431,65.0,40,15
31432,62.0,40,15
31433,66.0,40,15
31434,65.0,40,15
31435,65.0,40,15
31436,63.0,40,15
31437,65.0,40,15
31438,64.0,40,15
31439,64.0,40,15
31440,61.0,40,15
31441,63.0,40,15
31442,65.0,40,15
31443,63.0,40,15
31444,65.0,40,15
31445,65.0,40,15
31446,63.0,40,15
31447,65.0,40,15
31448,64.0,40,15
31449,63.0,40,15
31450,65.0,40,15
31451,63.0,40,15
31471,57.0,35,15
31511,140.0,96,29
31512,138.0,96,28
31513,135.0,96,28
31514,139.0,96,29
31515,137.0,96,29
31516,135.0,96,29
31517,138.0,96,29
31518,132.0,96,25
31519,138.0,96,27
31520,135.0,96,28
31521,143.0,96,29
31522,137.0,96,29
31523,140.0,96,27
31524,132.0,96,28
31525,138.0,96,28
31526,140.0,96,29
31527,140.0,96,29
31528,133.0,96,27
31529,141.0,96,29
31530,135.0,96,29
31531,128.0,96,23
31532,135.0,96,29
31533,140.0,96,27
31534,137.0,96,24
31535,140.0,96,27
31536,133.0,96,26
31537,138.0,96,28
31538,140.0,96,28
31539,135.0,96,28
31540,140.0,96,27
31541,135.0,96,28
31542,133.0,96,27
31571,65.0,35,6
31584,38.0,15,2
31585,38.0,15,2
31586,37.0,15,2
31601,108.0,76,24
31602,101.0,76,24
31611,110.0,76,23
31612,105.0,76,24
31613,108.0,76,24
31614,105.0,76,24
31615,110.0,76,24
31616,110.0,76,24
31617,108.0,76,24
31618,100.0,76,11
31619,98.0,76,12
31620,103.0,76,20
31621,112.0,76,24
31622,106.0,76,24
31623,108.0,76,23
31624,106.0,76,24
31625,107.0,76,16
31626,92.0,76,10
31627,110.0,76,24
31628,105.0,76,21
31629,108.0,76,24
31630,108.0,76,23
31631,108.0,76,24
31632,110.0,76,24
31633,108.0,76,24
31634,107.0,76,24
31636,108.0,76,23
31711,42.0,35,10
31712,42.0,35,9
31713,40.0,35,6
31714,40.0,35,6
31721,29.0,26,6
31722,34.0,26,6
31723,33.0,26,6
31724,31.0,26,5
31725,30.0,26,7
31726,33.0,26,7
31741,50.0,43,13
31742,50.0,43,13
31743,47.0,43,10
31744,50.0,43,13
31745,50.0,43,13
31746,53.0,43,13
31747,50.0,43,13
31748,53.0,43,13
31749,54.0,43,13
31750,50.0,43,13
31751,50.0,43,13
31752,50.0,43,13
31753,50.0,43,13
31754,50.0,43,13
31755,50.0,43,13
31756,50.0,43,13
31757,50.0,43,13
31758,49.0,43,13
31765,195.0,154,25
31766,200.0,153,25
31767,195.0,154,29
31768,210.0,153,27
31770,220.0,153,29
31771,195.0,154,28
31772,213.0,153,29
31781,27.0,20,6
31782,27.0,19,6
31783,27.0,20,5
31784,29.0,19,5
31786,28.0,19,5
31801,144.0,102,29
31802,138.0,102,29
31811,148.0,102,29
31812,145.0,102,29
31813,142.0,102,30
31814,132.0,102,22
31815,144.0,102,29
31816,140.0,102,29
31817,147.0,102,30
31818,138.0,102,25
31819,135.0,102,21
31820,140.0,102,29
31821,143.0,102,29
31822,140.0,102,29
31823,141.0,102,28
31824,138.0,102,28
31825,140.0,102,30
31826,130.0,102,20
31827,145.0,102,30
31828,137.0,102,29
31829,140.0,102,23
31830,138.0,102,26
31831,133.0,102,16
31832,146.0,102,28
31833,137.0,102,22
31834,139.0,102,26
31835,142.0,102,29
31836,145.0,102,29
31837,142.0,102,28
31838,143.0,102,30
31839,132.0,102,19
31840,150.0,102,16
31841,127.0,102,9
31842,135.0,102,9
31843,130.0,102,10
31844,118.0,102,10
31861,162.0,128,23
31862,180.0,127,24
31863,160.0,128,21
31864,165.0,127,20
31865,150.0,128,20
31866,162.0,127,21
31911,162.0,119,36
31912,155.0,119,36
31913,168.0,119,36
31914,152.0,119,36
31915,161.0,119,36
31916,160.0,119,30
31917,175.0,119,36
31918,158.0,119,36
31919,161.0,119,36
31920,154.0,119,35
31921,163.0,119,36
31922,175.0,119,36
31923,164.0,119,36
31924,157.0,119,35
31925,157.0,119,35
31926,161.0,119,36
31927,163.0,119,36
31928,157.0,119,31
31929,161.0,119,36
32211,43.0,28,9
32212,45.0,28,9
32213,47.0,28,9
32214,43.0,28,9
32215,43.0,28,9
32216,43.0,28,9
32217,47.0,28,9
32218,44.0,28,9
32219,43.0,28,9
32220,47.0,28,9
32221,43.0,28,9
32222,44.0,28,9
32223,44.0,28,9
32224,45.0,28,9
32225,43.0,28,9
32226,45.0,28,9
32227,42.0,28,9
32228,47.0,28,9
32229,47.0,28,9
32230,45.0,28,9
32231,45.0,28,9
32232,44.0,28,9
32233,45.0,28,9
32234,55.0,28,9
32235,42.0,28,9
32236,43.0,28,9
32237,44.0,28,9
32238,42.0,28,9
32239,40.0,28,9
32240,45.0,28,9
32241,45.0,28,9
32242,45.0,28,9
32243,43.0,28,9
32244,45.0,28,9
32245,45.0,28,9
32246,43.0,28,9
32247,43.0,28,9
32248,48.0,28,9
32249,45.0,28,9
32250,48.0,28,9
32252,43.0,28,9
32411,60.0,39,13
32412,67.0,39,13
32413,70.0,39,13
32414,60.0,39,13
33061,132.0,66,26
33212,17.0,9,3
33231,25.0,15,7
33232,25.0,15,7
33262,28.0,15,9
33271,80.0,50,18
33282,110.0,67,27
33291,28.0,18,7
33311,90.0,52,19
33312,82.0,52,19
33313,85.0,52,19
33314,78.0,52,19
33315,80.0,52,19
33316,84.0,52,19
33317,85.0,52,19
33318,76.0,52,19
33319,82.0,52,19
33320,80.0,52,19
33321,83.0,52,19
33323,79.0,52,19
33325,85.0,52,19
33351,33.0,22,7
33357,13.0,7,3
33361,70.0,54,14
33362,65.0,54,12
33363,65.0,54,12
33364,74.0,54,12
33365,65.0,54,12
33366,70.0,54,12
33367,68.0,54,13
33382,48.0,35,10
33401,45.0,24,11
33402,45.0,25,11
33411,21.0,12,4
33412,22.0,12,4
33421,40.0,20,9
33422,43.0,20,9
33431,47.0,24,11
33432,49.0,25,11
33433,46.0,24,11
33434,47.0,25,11
33435,50.0,24,11
33436,47.0,25,11
33437,48.0,24,11
33438,45.0,25,11
33439,46.0,24,11
33440,45.0,25,11
33441,44.0,24,11
33443,46.0,24,11
33445,44.0,24,11
33447,45.0,24,11
33511,130.0,77,29
33512,147.0,77,29
33513,126.0,77,29
33514,127.0,77,29
33515,135.0,77,29
33516,129.0,77,25
33517,130.0,77,29
33518,130.0,77,26
33519,132.0,77,29
33520,133.0,77,29
33521,123.0,77,29
33522,128.0,77,29
33523,125.0,77,29
33524,125.0,77,24
33525,141.0,77,29
33526,123.0,77,29
33527,136.0,77,25
33528,125.0,77,24
33529,125.0,77,25
33530,138.0,77,29
33531,125.0,77,25
33532,135.0,77,29
33533,131.0,77,29
33534,125.0,77,25
33536,137.0,77,29
33538,129.0,77,24
33611,62.0,32,13
33612,58.0,32,13
33613,60.0,32,13
33614,60.0,32,13
33615,60.0,32,13
33616,60.0,32,13
33617,60.0,32,13
33618,60.0,32,13
33619,61.0,32,13
33620,62.0,32,13
33621,59.0,32,13
33622,55.0,32,11
33623,62.0,32,13
33624,57.0,32,13
33626,60.0,32,13
